periodname,MOH 505 Rev 2020_Malaria mRDT Positive,MOH 505 Rev 2020_Malaria Microscopy Positive,Combined positive
Week 2 2024-01-08 - 2024-01-14,"1,126",46,"1,172"
Week 3 2024-01-15 - 2024-01-21,"1,031",36,"1,067"
Week 4 2024-01-22 - 2024-01-28,"1,586",52,"1,638"
Week 5 2024-01-29 - 2024-02-04,"1,681",32,"1,713"
Week 6 2024-02-05 - 2024-02-11,"1,626",77,"1,703"
Week 7 2024-02-12 - 2024-02-18,"1,706",17,"1,723"
Week 8 2024-02-19 - 2024-02-25,"1,136",32,"1,168"
Week 9 2024-02-26 - 2024-03-03,766,3,769
Week 10 2024-03-04 - 2024-03-10,"2,047",31,"2,078"
Week 11 2024-03-11 - 2024-03-17,364,55,419
Week 12 2024-03-18 - 2024-03-24,243,101,344
Week 13 2024-03-25 - 2024-03-31,209,60,269
Week 14 2024-04-01 - 2024-04-07,199,38,237
Week 15 2024-04-08 - 2024-04-14,137,53,190
Week 16 2024-04-15 - 2024-04-21,135,23,158
Week 17 2024-04-22 - 2024-04-28,787,10,797
Week 18 2024-04-29 - 2024-05-05,"1,631",48,"1,679"
Week 19 2024-05-06 - 2024-05-12,"2,125",58,"2,183"
Week 20 2024-05-13 - 2024-05-19,"3,681",162,"3,843"
Week 21 2024-05-20 - 2024-05-26,"4,552",101,"4,653"
Week 22 2024-05-27 - 2024-06-02,"4,385",253,"4,638"
Week 23 2024-06-03 - 2024-06-09,"3,131",72,"3,203"
Week 24 2024-06-10 - 2024-06-16,"3,532",198,"3,730"
Week 25 2024-06-17 - 2024-06-23,"2,774",74,"2,848"
Week 26 2024-06-24 - 2024-06-30,"1,813",152,"1,965"
Week 27 2024-07-01 - 2024-07-07,"1,877",46,"1,923"
Week 28 2024-07-08 - 2024-07-14,"1,956",114,"2,070"
Week 29 2024-07-15 - 2024-07-21,"1,234",38,"1,272"
Week 30 2024-07-22 - 2024-07-28,717,45,762
Week 31 2024-07-29 - 2024-08-04,"1,107",83,"1,190"
Week 32 2024-08-05 - 2024-08-11,"2,511",100,"2,611"
Week 33 2024-08-12 - 2024-08-18,"4,632",244,"4,876"
Week 34 2024-08-19 - 2024-08-25,"7,232",49,"7,281"
Week 35 2024-08-26 - 2024-09-01,"6,546",457,"7,003"
Week 36 2024-09-02 - 2024-09-08,"6,351",304,"6,655"
Week 37 2024-09-09 - 2024-09-15,"6,712",387,"7,099"
